96015416,4,500
98605464,-0.75,0.35,-10.20
98609140,-0.47,0.55,-10.24
98612820,-0.51,0.67,-10.43
98616500,-0.39,0.71,-10.00
98620168,-0.27,0.75,-10.04
98623848,-0.27,0.78,-9.81
98627468,-0.12,0.78,-9.96
98631080,0.00,0.78,-10.00
98634712,0.08,0.55,-10.00
98638356,0.04,0.59,-10.24
98642016,0.12,0.20,-10.24
98645668,0.08,0.31,-9.96
98649268,0.08,0.27,-10.16
98652920,0.00,0.31,-10.24
98656568,-0.04,0.27,-10.55
98660228,0.00,0.04,-9.65
98663796,0.00,0.12,-10.00
98667412,0.00,-0.12,-10.12
98671080,0.00,0.24,-9.89
98674668,0.00,-0.08,-9.85
98678268,0.08,0.67,-10.40
98681924,0.08,0.24,-9.89
98685524,0.04,0.39,-10.24
98689176,0.00,0.12,-10.12
98692828,0.04,-0.08,-9.69
98696412,0.00,0.16,-10.32
98700068,0.04,0.27,-10.36
98703740,0.04,0.16,-9.89
98707320,0.00,0.12,-9.69
98710904,0.00,0.08,-9.41
98714472,0.00,0.16,-9.92
98718052,0.04,0.00,-9.81
98721620,0.00,0.16,-9.81
98725232,0.08,-0.04,-10.00
98728892,0.04,0.35,-10.04
98732528,0.00,0.20,-9.85
98736104,0.00,0.24,-9.85
98739704,0.12,0.59,-10.24
98743364,-0.04,0.98,-10.24
98747016,0.00,0.31,-10.24
98750668,0.12,0.43,-9.92
98754276,-0.04,0.20,-9.34
98757892,-0.55,0.20,-9.14
98761508,-0.78,0.39,-9.89
98765124,-1.22,0.35,-9.77
98768752,-1.33,0.27,-10.12
98772440,-1.61,-0.08,-10.28
98776136,-1.80,0.35,-10.28
98779804,-2.16,0.20,-9.77
98783420,-2.43,-0.16,-9.45
98787068,-2.31,0.35,-10.55
98790772,-2.16,0.16,-10.51
98794460,-2.71,0.12,-10.12
98798148,-3.18,0.24,-9.96
98801764,-3.53,-0.27,-10.00
98805448,-3.49,-0.16,-10.63
98809140,-3.84,-0.51,-10.32
98812852,-4.12,-0.47,-10.43
98816548,-4.12,-0.39,-10.55
98820256,-4.35,-0.20,-10.47
98823940,-4.47,0.27,-9.61
98827556,-4.67,0.86,-9.45
98831176,-4.71,1.02,-9.77
98834808,-4.79,1.06,-10.55
98838484,-4.79,1.45,-10.90
98842168,-4.86,2.00,-10.90
98845840,-4.47,2.39,-10.43
98849520,-4.43,3.30,-10.24
98853216,-4.39,3.69,-9.14
98856844,-4.43,4.24,-8.83
98860472,-4.00,4.82,-9.45
98864084,-2.75,4.63,-11.22
98867776,-2.00,5.22,-11.65
98871456,-1.41,5.53,-11.49
98875144,0.16,5.92,-10.12
98878816,0.59,5.53,-8.16
98882412,1.41,4.90,-8.71
98886016,2.24,3.45,-10.12
98889684,3.10,3.33,-10.47
98893348,3.02,2.67,-10.40
98897012,2.71,2.31,-9.41
98900624,2.79,1.45,-10.16
98904312,2.47,0.31,-10.16
